totalIssues,openIssues,totalPullRequests,openPullRequests,commit_count,issue_count,network_count,subscribers_count,vp-category-equalfreq
30,11,30,5,966,787.0,5.0,3.0,1
30,3,30,0,1638,1223.0,1.0,3.0,1
30,0,30,0,94,37.0,22.0,3.0,0
30,19,30,2,175,132.0,14.0,9.0,0
30,7,30,1,667,381.0,193.0,25.0,1
10,2,8,1,22,11.0,6.0,2.0,1
23,5,17,5,15,23.0,2.0,3.0,0
30,5,30,1,269,195.0,14.0,8.0,1
30,9,30,4,1157,1310.0,133.0,5.0,0
30,3,30,0,638,393.0,5.0,5.0,0
24,7,11,0,21,25.0,12.0,3.0,0
30,1,30,0,186,49.0,1.0,1.0,1
19,0,16,0,109,19.0,19.0,2.0,1
30,25,30,2,85,126.0,34.0,3.0,0
19,10,14,6,12,19.0,23.0,2.0,0
30,44,30,12,111,147.0,88.0,3.0,1
30,3,30,0,10,40.0,9.0,0.0,1
30,12,11,0,1114,59.0,11.0,1.0,1
30,0,30,0,84,61.0,15.0,8.0,1
15,5,7,2,35,15.0,15.0,3.0,0
30,14,30,10,54,98.0,8.0,4.0,1
30,5,30,5,33,60.0,10.0,5.0,0
30,13,30,5,1272,799.0,65.0,5.0,0
30,5,30,3,107,60.0,8.0,4.0,0
30,34,30,8,223,287.0,215.0,9.0,1
30,18,30,4,597,518.0,24.0,3.0,0
30,24,30,13,376,269.0,2.0,3.0,1
24,5,22,4,246,24.0,3.0,0.0,0
30,2,30,0,420,348.0,64.0,4.0,0
30,12,30,3,392,312.0,16.0,2.0,1
8,5,5,2,26,8.0,16.0,2.0,0
30,1,30,1,162,50.0,1.0,1.0,1
30,15,30,2,184,275.0,89.0,8.0,1
30,4,30,2,29,44.0,18.0,2.0,0
30,7,30,4,1961,1053.0,2.0,3.0,0
30,6,30,3,1692,934.0,7.0,2.0,0
22,3,11,1,139,23.0,16.0,4.0,1
30,3,27,0,103,38.0,8.0,5.0,1
9,2,8,1,14,9.0,19.0,5.0,0
24,3,22,1,62,24.0,0.0,1.0,1
30,18,30,8,146,292.0,18.0,3.0,0
30,59,30,5,171,175.0,80.0,12.0,1
30,18,30,4,152,274.0,3.0,1.0,1
30,17,30,7,134,141.0,27.0,4.0,1
30,7,30,4,64,70.0,10.0,11.0,1
30,11,30,2,645,346.0,2.0,4.0,0
30,5,30,4,984,262.0,6.0,2.0,1
24,4,12,1,108,24.0,10.0,3.0,0
30,20,18,2,47,51.0,35.0,2.0,0
24,1,24,1,81,24.0,129.0,3.0,1
29,2,10,0,38,29.0,38.0,4.0,1
30,11,30,4,54,114.0,66.0,4.0,1
30,25,30,9,157,143.0,25.0,3.0,1
30,9,30,3,2429,1612.0,21.0,2.0,0
30,7,30,2,137,107.0,21.0,4.0,0
30,23,30,10,423,719.0,6.0,3.0,1
24,3,16,0,20,24.0,4.0,3.0,1
30,2,23,1,44,31.0,16.0,3.0,1
30,8,30,3,236,148.0,12.0,3.0,0
30,10,13,1,69,32.0,15.0,3.0,0
30,10,15,0,43,35.0,33.0,3.0,1
30,25,30,12,106,271.0,1.0,3.0,1
30,9,30,7,71,88.0,9.0,3.0,0
30,29,30,2,322,202.0,337.0,16.0,1
30,13,30,6,330,163.0,24.0,3.0,1
16,1,6,0,91,16.0,2.0,2.0,1
4,0,3,0,12,4.0,11.0,1.0,0
30,4,30,2,221,72.0,4.0,0.0,0
30,16,30,0,939,224.0,3.0,3.0,1
30,8,30,7,334,269.0,2.0,3.0,1
30,5,30,4,134,362.0,10.0,5.0,0
14,1,12,0,51,14.0,1.0,18.0,0
30,9,30,3,77,106.0,8.0,2.0,1
30,1,23,0,175,38.0,7.0,5.0,1
30,17,30,4,951,570.0,26.0,4.0,1
30,15,30,3,1466,847.0,8.0,3.0,0
30,1,30,0,1248,799.0,8.0,2.0,0
30,10,30,6,32,52.0,0.0,1.0,0
30,14,30,2,1292,758.0,12.0,2.0,0
30,11,30,1,79,68.0,15.0,3.0,0
30,0,30,0,205,170.0,11.0,2.0,0
