repo_owner,repo_name,Total Vulnerabilities (High or Critical),Category
Tyrrrz,action-http-request,0,Utilities
davidB,rust-cargo-make,0,Deployment
vn7n24fzkq,github-profile-summary-cards,1,Utilities
joao-zanutto,get-selected,0,Utilities
mikepenz,action-junit-report,0,Testing
Apple-Actions,download-provisioning-profiles,4,Mobile
shimataro,ssh-key-action,0,Deployment
biomejs,setup-biome,9,Utilities
corymhall,cdk-diff-action,0,Continuous Integration
brown-ccv,alex-recommends,12,Code Review
mlugg,setup-zig,1,Utilities
opsless,ms-teams-github-actions,0,Continuous Integration
TinkurLab,monorepo-pr-labeler-action,0,Code Review
umani,changed-files,3,Utilities
laytan,setup-odin,1,Utilities
42Crunch,api-security-audit-action,0,Testing
github,command,0,Utilities
arduino,setup-arduino-cli,0,Utilities
cloudflare,pages-action,1,Deployment
LouisBrunner,checks-action,0,API Management
kamilkisiela,bob,9,Continuous Integration
di-sukharev,opencommit,1,Utilities
jwgmeligmeyling,pmd-github-action,3,Security
tj-actions,glob,0,Continuous Integration
shogo82148,actions-upload-release-asset,0,Publishing
swinton,screenshot-website,3,Code Quality
DevCycleHQ,feature-flag-code-usage-action,1,Code Review
thomaseizinger,keep-a-changelog-new-release,12,Publishing
dotnet,nbgv,2,Project Management
JamesIves,github-pages-deploy-action,1,Deployment
oracle-actions,run-oci-cli-command,0,Deployment
lindluni,actions-variable-groups,0,Utilities
SpectralOps,spectral-github-action,1,Security
nelonoel,branch-name,0,Deployment
necojackarc,auto-request-review,0,Code Review
usimd,pi-gen-action,0,Publishing
dorny,test-reporter,1,Testing
yogeshpaliyal,upload-indus-appstore,2,Deployment
Azure,pipelines,0,Deployment
Azure,k8s-set-context,2,Deployment
DopplerHQ,cli-action,0,Security
aquiladev,ipfs-action,3,Deployment
aws-actions,amazon-ecr-login,0,Deployment
dhall-lang,setup-dhall,0,Dependency Management
kanadgupta,glitch-sync,0,Deployment
astral-sh,setup-uv,0,Utilities
fwilhe2,setup-kotlin,1,Continuous Integration
sinedied,publish-devto,1,Deployment
kevin-david,zipalign-sign-android-release,0,Publishing
xavierLowmiller,xcodegen-action,0,Mobile CI
mattermost,action-mattermost-notify,0,Utilities
moropo-com,action-trigger-test-run,0,Testing
shioyang,check-pr-labels-on-push-action,0,Project Management
crazy-max,ghaction-upx,2,Deployment
dailydotdev,action-devcard,1,Utilities
mheap,require-checklist-action,0,Code Review
sibiraj-s,action-eslint,0,Code Quality
