repo_owner,repo_name,Number of Components,Total Vulnerabilities,Low,Medium,High,Critical,Category
h5bp,server-configs-test,177,1,0,0,1,0,Testing
JamesIves,github-pages-deploy-action,509,2,1,0,1,0,Deployment
dromara,issues-translate-action,149,18,1,4,10,3,Localization
crazy-max,ghaction-upx,577,2,0,0,2,0,Deployment
batista,lint-filenames,36,1,0,1,0,0,Utilities
10up,action-repo-automator,50,0,0,0,0,0,Code Review
oprypin,find-latest-tag,28,0,0,0,0,0,Dependency Management
the-actions-org,workflow-dispatch,161,3,0,1,2,0,Utilities
blombard,move-to-next-iteration,25,0,0,0,0,0,Utilities
test-summary,action,25,0,0,0,0,0,Testing
tmcw,notfoundbot,642,36,0,12,20,4,Monitoring
ksivamuthu,aws-copilot-github-action,13,0,0,0,0,0,Deployment
dhall-lang,setup-dhall,8,0,0,0,0,0,Dependency Management
kanadgupta,glitch-sync,5,0,0,0,0,0,Deployment
yogeshpaliyal,upload-indus-appstore,34,3,0,1,1,1,Deployment
kamilkisiela,bob,541,16,0,7,8,1,Continuous Integration
yanamura,git-flow-merge-action,352,5,0,2,3,0,Utilities
Jtalk,url-health-check-action,35,0,0,0,0,0,Testing
kitabisa,docker-slim-action,55,0,0,0,0,0,Utilities
DopplerHQ,cli-action,15,3,3,0,0,0,Security
astral-sh,setup-uv,107,0,0,0,0,0,Utilities
bazelbuild,setup-bazelisk,76,2,2,0,0,0,Testing
squarecloudofc,github-action,32,0,0,0,0,0,Deployment
errata-ai,vale-action,97,2,0,0,2,0,Testing
kiegroup,github-action-build-chain,103,5,0,4,1,0,Utilities
peckjon,reject-pr-approval-from-committer,33,0,0,0,0,0,Code Review
xt0rted,slash-command-action,35,0,0,0,0,0,Chat
shadowmoose,GHA-LoC-Badge,22,3,1,1,1,0,Utilities
wangyucode,sftp-upload-action,10,0,0,0,0,0,Deployment
DataDog,synthetics-ci-github-action,856,4,0,2,2,0,Testing
dailydotdev,action-devcard,190,1,0,0,1,0,Utilities
aslafy-z,conventional-pr-title-action,126,0,0,0,0,0,Code Review
lwojcik,github-action-feed-to-social-media,3,0,0,0,0,0,Utilities
dynatrace-oss,dynatrace-github-action,23,0,0,0,0,0,Utilities
docker-practice,actions-setup-docker,4,0,0,0,0,0,Container CI
MarkusJx,install-boost,120,4,2,2,0,0,Continuous Integration
SimonScholz,google-chat-action,38,0,0,0,0,0,Chat
matlab-actions,setup-matlab,61,0,0,0,0,0,Utilities
joao-zanutto,get-selected,38,0,0,0,0,0,Utilities
jpb06,jest-badges-action,673,9,3,3,3,0,Testing
abel0b,setup-premake,10,2,0,1,1,0,Continuous Integration
opsless,ms-teams-github-actions,55,2,2,0,0,0,Continuous Integration
peaceiris,actions-suggest-related-links,124,13,0,9,4,0,Utilities
workflow,nix-shell-action,12,0,0,0,0,0,Dependency Management
worksome,jira-branch-name-validator-action,3,0,0,0,0,0,Code Quality
mikesprague,teams-incoming-webhook-action,58,0,0,0,0,0,Utilities
umani,changed-files,160,4,0,1,3,0,Utilities
Mastersam07,firebase-app-distribution-action,64,4,2,1,1,0,Publishing
superman66,wakatime-sync,52,8,0,4,4,0,Project Management
aGallea,tests-coverage-report,40,0,0,0,0,0,Code Review
managedcode,MAUIAppVersion,27,0,0,0,0,0,Deployment
TheMrMilchmann,setup-msvc-dev,133,0,0,0,0,0,Utilities
TryGhost,action-deploy-theme,420,0,0,0,0,0,Deployment
teatimeguest,setup-texlive-action,125,0,0,0,0,0,Utilities
davidB,rust-cargo-make,32,0,0,0,0,0,Deployment
Azure,mysql,44,4,0,1,1,2,Deployment
Azure,cli,26,0,0,0,0,0,Deployment
KyleMayes,install-llvm-action,284,1,0,1,0,0,Dependency Management
GreenTF,upload-thunderstore-package,6,0,0,0,0,0,Publishing
codfish,semantic-release-action,532,7,1,2,4,0,Deployment
Satak,webrequest-action,19,6,3,2,1,0,Utilities
stoat-dev,stoat-action,2607,19,4,6,9,0,Utilities
Rebilly,lexi,582,1,0,1,0,0,Code Review
technote-space,create-pr-action,731,25,1,8,16,0,Utilities
GrantBirki,git-diff-action,47,0,0,0,0,0,Utilities
gagoar,codeowners-generator,97,2,0,1,1,0,Utilities
ReactiveCircus,android-emulator-runner,28,0,0,0,0,0,Testing
nicklegan,github-org-repo-metrics-action,66,4,0,2,2,0,Utilities
dessant,lock-threads,35,3,3,0,0,0,Project Management
ArtiomTr,jest-coverage-report-action,348,12,1,4,5,2,Monitoring
Azure,k8s-lint,17,0,0,0,0,0,Code Review
DevCycleHQ,feature-flag-pr-insights-action,403,1,0,0,1,0,Code Review
dlemstra,code-sign-action,9,0,0,0,0,0,Security
jimmygchen,runner-fallback-action,14,0,0,0,0,0,Utilities
TinkurLab,issue-labeler-action,26,0,0,0,0,0,Project Management
Reggionick,s3-deploy,10,0,0,0,0,0,Deployment
tinovyatkin,action-php-codesniffer,45,2,0,1,0,1,Code Review
turtlequeue,setup-babashka,569,9,3,1,5,0,Container CI
xmake-io,github-action-setup-xmake,445,3,0,1,2,0,Utilities
vn7n24fzkq,github-profile-summary-cards,143,1,0,0,1,0,Utilities
dkershner6,jest-coverage-commenter-action,665,6,3,1,2,0,Code Review
