repo_owner,repo_name,Category,Number of Components,Low,Medium,High,Critical,Total Vulnerabilities,CWE Tags,vulnerability-proneness-all,commits,branches,releases,forks,watchers,stargazers,contributors,size,totalIssues,openIssues,totalPullRequests,openPullRequests,codeLines,labels,topics
stainless-api,upload-openapi-spec-action,utilities,167,0,1,1,0,2," cwe-1333, cwe-020",2.0,30,23,9,7,3,14,11,1047,30,10,30,9,1047000,10," api,  api-rest,  github-actions,  openapi,  readme,  sdk, actions"
steffen-karlsson,stalesweeper,support,19,2,1,2,0,5," cwe-200,  cwe-284, cwe-020",5.0,30,2,4,0,1,11,2,2513,24,3,22,1,2513000,11,nan
step-security,wait-for-secrets,security,37,0,0,1,0,1,cwe-020,1.0,30,14,8,18,3,279,7,4858,30,18,30,8,4858000,13," actions,  github-actions,  mfa,  security, action"
stepci,stepci,testing,281,0,3,0,2,5," cwe-352,  cwe-789,  cwe-94, cwe-200",5.0,30,4,30,78,12,1696,18,508,30,59,30,5,508000,13," api-client,  api-rest,  api-testing,  api-testing-framework,  automated-testing,  ci,  continuous-integration,  github-actions,  graphql,  grpc,  grpc-client,  integration-testing,  load-testing,  qa,  soap,  swagger,  test-automation,  testing-tools,  trpc, actions"
stoat-dev,stoat-action,utilities,2607,4,9,15,0,28," cwe-080,  cwe-116,  cwe-1333,  cwe-200,  cwe-307,  cwe-367,  cwe-400,  cwe-405,  cwe-476,  cwe-74,  cwe-770,  cwe-79,  cwe-835, cwe-020",28.0,30,6,14,3,1,67,4,11262,30,18,30,4,11262000,10," comment,  continuous-integration,  developer-tools,  github-action,  pull-request,  pull-requests,  stoat,  template, ci-cd-pipeline"
superman66,wakatime-sync,project management,52,0,4,5,0,9," cwe-1333,  cwe-173,  cwe-20,  cwe-200,  cwe-352,  cwe-770, cwe-020",9.0,30,3,1,107,3,115,4,933,30,5,16,3,933000,9," javascript,  sync,  wakatime,  wakatime-apikey,  wakatime-dashboard,  wakatime-sync, gist"
swinton,screenshot-website,code quality,103,1,1,3,0,5," cwe-22,  cwe-400,  cwe-476, cwe-1321",5.0,30,15,2,26,4,191,3,2388,30,17,30,7,2388000,12," github-actions,  screenshot,  website, actions"
synopsys-sig,detect-action,security,57,0,1,7,0,8," cwe-080,  cwe-116,  cwe-1333,  cwe-295,  cwe-297,  cwe-400,  cwe-74, cwe-020",8.0,30,13,2,32,9,28,6,5956,30,43,30,14,5956000,9,nan
sysdiglabs,scan-action,security,36,0,2,5,0,7," cwe-078,  cwe-088,  cwe-367,  cwe-377,  cwe-378, cwe-020",7.0,30,8,11,10,12,30,8,1069,30,7,30,4,1069000,10," scan,  scanning,  security,  sysdig-scanning,  vulnerability,  vulnerability-scanners, image-scanning"
szenius,notion-burndown,project management,59,2,2,5,0,9," cwe-080,  cwe-116,  cwe-173,  cwe-20,  cwe-319,  cwe-400,  cwe-730,  cwe-74,  n/a, cwe-020",9.0,30,1,7,24,4,64,2,4527,30,0,30,0,4527000,9," burndown-chart,  notion,  notion-api,  notion-database,  notion-enhancer,  scrum,  scrum-agile, burndown"
teatimeguest,setup-texlive-action,utilities,125,0,0,3,0,3," cwe-400,  cwe-730, cwe-020",3.0,30,4,30,2,4,44,3,10384,30,11,30,2,10384000,12," github-actions,  latex,  luatex,  pdftex,  tex,  texlive,  xetex, actions"
technote-space,create-pr-action,utilities,731,1,8,16,0,25," cwe-1333,  cwe-178,  cwe-200,  cwe-248,  cwe-400,  cwe-50,  cwe-74,  cwe-79,  cwe-835,  cwe-918, cwe-1321",25.0,30,8,30,6,2,30,2,21063,30,5,30,4,21063000,30,github-actions
test-room-7,action-update-file,utilities,53,0,1,2,0,3," cwe-1333,  cwe-400, cwe-020",3.0,30,2,17,10,3,40,6,581,24,4,12,1,581000,10," typescript, github-action"
test-summary,action,testing,25,0,0,0,0,0,nan,0.0,30,2,6,34,2,408,8,250,30,20,18,2,250000,10," ci-cd,  github-actions,  testing, actions"
the-actions-org,workflow-dispatch,utilities,161,0,1,3,0,4," cwe-1333,  cwe-400, cwe-020",4.0,30,6,5,51,3,69,11,437,24,1,24,1,437000,9,nan
thomaseizinger,keep-a-changelog-new-release,publishing,952,6,9,11,1,27," cwe-1321,  cwe-1333,  cwe-173,  cwe-184,  cwe-20,  cwe-345,  cwe-347,  cwe-359,  cwe-400,  cwe-476,  cwe-697,  cwe-74,  cwe-78,  cwe-915,  cwe-918, cwe-130",27.0,30,6,8,38,4,57,6,369,29,2,10,0,369000,9,nan
tibdex,backport,utilities,477,0,1,3,1,5," cwe-184,  cwe-400,  cwe-730, cwe-1333",5.0,30,9,8,66,4,74,9,2167,30,11,30,4,2167000,10," github-action,  javascript-github-action,  pull-requests, backport"
tinovyatkin,action-php-codesniffer,code review,45,0,2,1,1,4," cwe-078,  cwe-088,  cwe-506,  cwe-74, cwe-020",4.0,30,15,1,26,3,23,3,844,30,25,30,9,844000,9,nan
tj-actions,glob,continuous integration,543,0,0,1,0,1,cwe-020,1.0,30,8,30,21,2,17,10,9286,30,9,30,3,9286000,17," braces,  cicd,  github,  github-actions,  glob,  globstar,  minimatch,  pattern-matching, actions"
tmcw,notfoundbot,monitoring,642,0,13,22,4,39," cwe-080,  cwe-116,  cwe-1321,  cwe-1333,  cwe-173,  cwe-184,  cwe-269,  cwe-400,  cwe-697,  cwe-74,  cwe-77,  cwe-770,  cwe-915,  cwe-918,  cwe-94, cwe-020",39.0,30,5,9,7,4,114,6,3038,30,9,30,1,3038000,11," hugo,  jekyll, actions"
toshimaru,auto-author-assign,project management,27,0,0,1,0,1,cwe-020,1.0,30,4,30,21,4,105,6,1464,30,7,30,2,1464000,12,github-actions
tubone24,update_release,deployment,66,0,1,6,0,7," cwe-1333,  cwe-173,  cwe-74,  cwe-770, cwe-020",7.0,30,20,4,6,3,16,7,1500,30,23,30,10,1500000,13," github-releases, github-actions"
turtlequeue,setup-babashka,container ci,569,3,2,5,0,10," cwe-1321,  cwe-1333,  cwe-200,  cwe-284,  cwe-400, cwe-020",10.0,20,3,9,4,3,28,3,225,24,3,16,0,225000,9,nan
umani,changed-files,utilities,160,0,1,4,0,5," cwe-400,  cwe-730, cwe-1333",5.0,30,6,13,16,3,28,8,2003,30,2,23,1,2003000,10," github,  github-actions,  typescript,  workflows, ci"
usimd,pi-gen-action,publishing,52,3,0,0,0,3," cwe-284, cwe-200",3.0,30,6,8,11,3,49,4,1309,30,8,30,3,1309000,10," pi-gen,  raspberry-pi, actions"
varunsridharan,action-github-workflow-sync,utilities,53,0,1,2,0,3,cwe-020,3.0,30,5,8,15,3,65,7,1082,30,10,13,1,1082000,4," github-action-docker,  github-action-workflow,  github-action-workflow-sync,  github-actions,  github-workflow,  github-workflows,  sync,  vs-github-action,  workflow,  workflow-sync,  workflows, github-action"
vimtor,action-zip,utilities,243,2,8,13,3,26," cwe-080,  cwe-116,  cwe-1321,  cwe-1333,  cwe-173,  cwe-200,  cwe-22,  cwe-29,  cwe-400,  cwe-697,  cwe-77,  cwe-770,  cwe-915, cwe-020",26.0,30,1,3,33,3,89,11,50,30,10,15,0,50000,10,nan
vio,bundle-stats-action,utilities,90,0,1,4,0,5," cwe-20,  cwe-400,  n/a, cwe-1333",5.0,30,22,8,1,3,19,3,9559,30,25,30,12,9559000,12," bundle-stats,  github-action, bundle-size"
vlaurin,action-ghcr-prune,utilities,30,0,0,1,0,1,cwe-020,1.0,30,8,6,9,3,47,3,652,30,9,30,7,652000,16,nan
vn7n24fzkq,github-profile-summary-cards,utilities,143,0,0,10,0,10," cwe-080,  cwe-116,  cwe-184,  cwe-400, cwe-020",10.0,30,4,30,334,16,2778,30,22122,30,29,30,2,22122000,12," github-profile-readme,  hacktoberfest,  profile-readme,  profile-summary,  readme-stats,  star,  summary-cards,  trigger-action, github-action"
volta-cli,action,utilities,4,0,0,3,4,7," cwe-259,  cwe-321,  cwe-798, cwe-020",7.0,30,8,30,24,3,97,13,26719,30,13,30,6,26719000,12,hacktoberfest
wangyucode,sftp-upload-action,deployment,10,0,0,0,0,0,nan,0.0,30,1,14,23,3,59,5,1715,30,1,14,0,1715000,11,nan
wdzeng,edge-addon,publishing,447,0,2,2,0,4," cwe-400,  cwe-835, cwe-1333",4.0,30,5,13,2,2,16,5,823,16,1,6,0,823000,9," edge-extension,  github-action, edge-addon"
we-cli,coverage-badge-action,testing,3,0,0,0,0,0,nan,0.0,12,3,1,11,1,49,3,11,4,0,3,0,11000,9," coverage,  github-actions,  testing, ci"
wechuli,allcheckspassed,security,36,0,0,2,0,2,cwe-020,2.0,30,3,4,4,0,23,5,1378,30,4,30,2,1378000,11,nan
wenkokke,setup-agda,utilities,195,0,0,9,0,9," cwe-080,  cwe-116,  cwe-1333,  cwe-327,  cwe-367, cwe-020",9.0,30,11,9,3,3,26,4,16888,30,16,30,0,16888000,19,nan
wktk,github-project-connect-action,utilities,160,3,2,3,0,8," cwe-1333,  cwe-200,  cwe-284,  cwe-400, cwe-020",8.0,30,9,7,2,3,14,5,1852,30,8,30,7,1852000,10," github-actions,  github-projects,  javascript-action,  kanban,  project-management,  projects,  waffle,  waffle-io, actions"
workflow,nix-shell-action,dependency management,12,0,0,1,0,1,cwe-020,1.0,30,7,13,10,5,43,4,1273,30,5,30,4,1273000,12," ci,  nix,  nix-shell, actions"
worksome,jira-branch-name-validator-action,code quality,3,0,0,2,0,2," cwe-730, cwe-400",2.0,30,2,30,1,18,13,4,104,14,1,12,0,104000,9,nan
xavierlowmiller,xcodegen-action,mobile ci,9,0,0,0,0,0,nan,0.0,30,2,11,6,1,13,8,1341,18,1,14,0,1341000,10,nan
xeol-io,bumpgen,utilities,1006,4,2,6,0,12," cwe-400,  cwe-405,  cwe-476,  cwe-74,  cwe-79, cwe-1333",12.0,30,19,2,5,3,110,3,283,30,9,30,3,283000,13," ai-agent,  appsec,  bump-version,  react,  tsx,  typescript, ai"
xmake-io,github-action-setup-xmake,utilities,445,0,2,4,0,6," cwe-1333,  cwe-400,  cwe-730, cwe-020",6.0,30,3,7,6,4,30,6,2762,30,1,23,0,2762000,10," github-action,  setup-xmake,  xmake, ci"
xt0rted,dotnet-format,code quality,186,0,1,3,0,4," cwe-400, cwe-1333",4.0,30,14,4,26,4,32,4,1062,30,17,30,4,1062000,13," dotnet-core,  dotnet-format,  dotnet-tool,  github-actions,  linting, dotnet"
xt0rted,slash-command-action,chat,35,0,0,0,0,0,nan,0.0,30,10,4,8,3,67,5,3794,30,15,30,3,3794000,13," hacktoberfest,  slash-commands,  workflows, github-actions"
yanamura,git-flow-merge-action,utilities,352,0,2,4,0,6," cwe-1333,  cwe-400, cwe-020",6.0,30,9,5,1,2,15,3,1347,30,7,30,5,1347000,10," git-merge,  gitflow,  github-actions, git-flow"
yc-actions,yc-sls-container-deploy,deployment,104,0,0,2,0,2," cwe-1333,  cwe-400,  cwe-730, cwe-020",2.0,30,7,7,9,2,30,7,27526,30,1,30,0,27526000,12," github-actions,  serverless,  serverless-containers,  yandex-cloud, docker"
yogeshpaliyal,upload-indus-appstore,deployment,34,0,1,1,1,3," cwe-506,  cwe-918, cwe-200",3.0,30,7,6,0,1,19,1,11410,30,10,30,6,11410000,12," continuous-deployment,  deployment,  indus-app-store, ci-cd"
yuichielectric,dive-action,container ci,42,0,0,2,0,2,cwe-020,2.0,30,16,4,14,2,11,3,2641,30,14,30,2,2641000,10," code-review,  containers,  dockerfile, ci"
yuzutech,annotations-action,code review,28,0,1,2,0,3," cwe-173,  cwe-74, cwe-020",3.0,30,2,18,16,3,37,7,180,30,11,30,1,180000,11,nan
zentered,vercel-preview-url,utilities,26,0,0,1,1,2," cwe-259,  cwe-321,  cwe-798, cwe-020",2.0,30,1,21,11,2,32,7,2700,30,0,30,0,2700000,13," deployment,  github,  vercel,  vercel-deployment,  vercel-shorturl, action"
