repo_owner,repo_name,Category,Number of Components,Low,Medium,High,Critical,Total Vulnerabilities,CWE Tags,vulnerability-proneness-all,commits,branches,releases,forks,watchers,stargazers,contributors,size,totalIssues,openIssues,totalPullRequests,openPullRequests,codeLines,labels,topics
jasonetco,build-and-tag-action,publishing,80,0,1,4,1,6," cwe-1333,  cwe-173,  cwe-74, cwe-1321",6.0,30,1,16,36,4,96,7,539,30,16,30,7,539000,10,nan
jasonetco,create-an-issue,project management,112,0,2,3,0,5," cwe-080,  cwe-116,  cwe-1333,  cwe-79, cwe-020",5.0,30,4,22,87,10,274,11,1221,30,21,30,5,1221000,10,nan
jetbrains,qodana-action,security,320,0,4,4,0,8," cwe-080,  cwe-116,  cwe-117,  cwe-1333,  cwe-367,  cwe-377,  cwe-378,  cwe-434,  cwe-912, cwe-020",8.0,30,24,30,40,15,270,15,20491,30,4,30,3,20491000,12," azure-extensions,  azure-pipelines,  code-quality,  code-review,  code-scanning,  devsecops,  dotnet,  github-actions,  go,  java,  javascript,  kotlin,  php,  python,  qodana,  sarif,  static-analysis,  static-code-analysis,  typescript, actions"
jorelali,setup-elm,continuous integration,7,0,0,0,0,0,nan,0.0,30,2,6,6,3,29,7,108,12,1,8,0,108000,10,nan
jtalk,url-health-check-action,testing,35,0,0,0,0,0,nan,0.0,30,1,13,18,3,75,5,252,29,1,17,0,252000,10,nan
julienkode,team-labeler-action,code review,589,1,0,2,0,3," cwe-1333,  cwe-400, cwe-020",3.0,30,15,6,43,2,49,10,55643,30,9,30,7,55643000,11," github,  github-actions,  javascript,  labeler-action,  pull-request,  teams,  typescript,  workflow, actions"
kylemayes,install-llvm-action,dependency management,284,0,2,1,0,3," cwe-200,  cwe-367, cwe-1333",3.0,30,2,29,52,6,110,11,1473,30,3,30,2,1473000,10,nan
legion2,swagger-ui-action,utilities,41,0,0,2,0,2,cwe-020,2.0,30,8,13,8,2,53,4,2942,30,11,30,7,2942000,10," documentation-tool,  github-page,  openapi,  swagger-ui,  workflow, actions"
louisbrunner,checks-action,api management,40,0,2,1,0,3," cwe-117, cwe-020",3.0,30,2,14,57,5,207,7,2013,30,4,30,0,2013000,12," checks,  checks-api,  github,  hacktoberfest, actions"
luisalejandro,movie-box,utilities,200,0,1,3,0,4," cwe-1333,  cwe-79,  cwe-918, cwe-020",4.0,30,7,4,8,2,23,4,868,30,3,30,3,868000,13," movie-box,  trakt,  trakt-api,  trakt-tv,  watched-movies, gist"
markusjx,install-boost,continuous integration,120,2,4,6,0,12," cwe-080,  cwe-116,  cwe-1321,  cwe-200,  cwe-284,  cwe-400,  cwe-730,  cwe-918, cwe-020",12.0,30,4,15,4,2,68,4,3507,30,2,24,2,3507000,10," boost,  cplusplus,  cpp,  github-actions,  macos,  ubuntu,  windows, actions"
mastersam07,firebase-app-distribution-action,publishing,64,2,2,1,2,7," cwe-200,  cwe-259,  cwe-284,  cwe-321,  cwe-798,  cwe-918, cwe-020",7.0,11,5,3,4,2,18,3,881,20,5,18,4,881000,12," cicd,  firebase-app-distribution,  hacktoberfest, ci"
meilcli,npm-update-check-action,utilities,30,0,0,0,0,0,nan,0.0,30,6,30,1,3,24,4,3939,30,3,30,3,3939000,10," github-actions,  npm,  npm-package, actions"
mishakav,pytest-coverage-comment,testing,41,0,1,1,0,2,cwe-020,2.0,30,6,30,60,2,192,15,714,30,11,30,6,714000,12," github-actions,  test,  testing, coverage"
morrisoncole,pr-lint-action,utilities,503,6,3,13,1,23," cwe-1321,  cwe-1333,  cwe-184,  cwe-200,  cwe-284,  cwe-400,  cwe-697,  cwe-730,  cwe-918, cwe-020",23.0,30,4,19,23,3,65,13,57435,30,14,30,0,57435000,9," github-actions,  linter,  review,  typescript,  workflow, bot"
mozilla-actions,sccache-action,dependency management,33,0,1,1,0,2," cwe-078,  cwe-088, cwe-020",2.0,30,6,7,24,2,129,14,1255,30,15,30,5,1255000,11,nan
octopusdeploy,install-octopus-cli-action,deployment,25,0,0,0,0,0,nan,0.0,30,6,16,18,17,82,17,11777,30,10,30,1,11777000,14," continuous-delivery,  deployment,  github-actions,  octopus-deploy,  public, cli"
reactivecircus,android-emulator-runner,testing,28,0,24,0,0,24," cwe-088, cwe-078",24.0,30,6,30,201,15,1014,30,1968,30,76,30,8,1968000,11," ci,  github-actions,  testing, android-emulators"
readme-workflows,recent-activity,utilities,129,0,3,4,0,7," cwe-1333,  cwe-20,  cwe-200,  cwe-352,  cwe-918, cwe-020",7.0,30,12,15,45,2,135,10,26228,30,10,30,9,26228000,26," github-action,  github-actions,  hacktoberfest,  node,  node-js,  nodejs,  profile-readme,  readme-workflows,  workflows, actions"
rebilly,lexi,code review,582,0,1,3,0,4," cwe-080,  cwe-116,  cwe-835, cwe-020",4.0,30,1,14,2,21,39,7,5829,30,1,30,0,5829000,17," actions,  comment,  comment-bot,  comment-system,  comments,  documentation,  github-actions,  markdown,  md,  pull-request,  pull-requests,  quality,  readability,  readability-level,  readability-metrics,  readability-scores,  readability-tests,  report,  reporter, action"
reedyuk,npm-version,publishing,8,0,1,0,0,1," cwe-088, cwe-078",1.0,30,1,7,5,3,19,5,60,9,1,5,0,60000,10,nan
reggionick,s3-deploy,deployment,10,0,0,0,0,0,nan,0.0,30,10,12,84,4,249,18,477,30,14,30,3,477000,12,nan
satak,webrequest-action,utilities,19,3,3,1,1,8," cwe-20,  cwe-200,  cwe-259,  cwe-284,  cwe-321,  cwe-798,  cwe-918, cwe-020",8.0,30,3,10,16,2,48,2,1120,30,2,30,2,1120000,10," github-actions,  webrequest, api-client"
scribemd,docker-cache,utilities,575,2,10,8,0,20," cwe-1333,  cwe-150,  cwe-200,  cwe-284,  cwe-400,  cwe-693,  cwe-730,  cwe-77,  cwe-79,  cwe-94, cwe-020",20.0,30,4,26,28,1,105,4,50542,30,14,30,6,50542000,17," cache,  conventional-commits,  docker,  editorconfig,  github-actions,  jest,  megalinter,  nodejs,  pre-commit,  prettier,  python,  python-poetry,  renovate,  semver,  ts-node,  typescript,  vscode,  yaml,  yarn, asdf"
sethcohen,github-releases-to-discord,deployment,35,0,0,2,0,2," cwe-080,  cwe-116, cwe-020",2.0,30,1,26,9,2,29,7,1232,30,1,30,0,1232000,11," changelog,  changelog-parser,  discord,  discord-webhook,  embed,  github,  github-action,  github-actions,  github-release,  release,  webhook, action"
simonscholz,google-chat-action,chat,38,0,0,1,0,1,cwe-020,1.0,30,7,2,5,2,19,2,981,30,7,30,6,981000,12,nan
spectralops,spectral-github-action,security,12,0,2,1,0,3," cwe-088,  cwe-1333,  cwe-74, cwe-078",3.0,28,3,5,9,3,14,8,199,15,1,10,1,199000,9,nan
svanboxel,zaproxy-to-ghas,testing,25,0,1,2,1,4," cwe-400,  cwe-506,  cwe-74, cwe-020",4.0,30,2,3,4,3,16,4,326,30,6,30,2,326000,10,nan
themrmilchmann,setup-msvc-dev,utilities,133,0,1,0,0,1," cwe-088, cwe-078",1.0,30,5,7,2,3,15,3,241025,30,1,30,1,241025000,14," msvc,  vcvarsall,  visual-cpp,  windows, github-actions"
timdaub,hetzner-cloud-deploy-server-action,deployment,5,0,2,1,0,3," cwe-359,  cwe-74, cwe-173",3.0,30,1,1,14,6,33,2,92,19,7,3,0,92000,9," cloud,  continous,  github,  hetzner,  integration, actions"
tinkurlab,issue-labeler-action,project management,26,0,0,0,0,0,nan,0.0,30,4,10,2,2,12,2,1008,30,4,30,2,1008000,9,nan
tinkurlab,monorepo-pr-labeler-action,code review,28,0,0,3,0,3," cwe-400,  cwe-730, cwe-020",3.0,30,4,15,14,4,99,8,618,30,7,30,3,618000,13,nan
tryghost,action-deploy-theme,deployment,420,0,1,0,0,1,cwe-020,1.0,30,2,14,47,14,363,15,1104,30,6,30,2,1104000,10," ghost-theme,  github-action,  github-actions, ghost"
