repo_owner,repo_name,Category,Number of Components,vulnerability-proneness-all,branches,releases,forks,watchers,stargazers,contributors,size,totalIssues,openIssues,totalPullRequests,openPullRequests,codeLines,vp-category-equalfreq,description,primary_language,license_name,security_policy_enabled,vulnerability_alerts_enabled,stargazers_count,commit_count,issue_count,network_count,subscribers_count,languages,lang_javascript,lang_typescript,lang_shell,lang_dockerfile,lang_python,lang_mustache,lang_handlebars,lang_html,lang_kotlin,lang_powershell,lang_makefile,lang_smarty,lang_cmake,lang_cplusplus,lang_ruby,lang_vue,lang_css,lang_swift,lang_rust,lang_hcl,lang_batchfile,lang_c#,lang_dart,lang_julia,lang_odin,lang_java,lang_nix,lang_objective_c,lang_jinja,lang_nunjucks,lang_jq,lang_php,lang_agda,lang_lua
game-ci,unity-builder,game ci,922,27.0,19,30,269,16,883,30,89242,30,78,30,15,89242000,2,Build Unity projects for different platforms,TypeScript,MIT License,False,True,888.0,448,679.0,272.0,16.0,"['TypeScript', 'JavaScript', 'Batchfile', 'Shell']",1.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
gautamkrishnar,keepalive-workflow,utilities,83,5.0,2,27,28,3,191,16,701,30,0,23,0,701000,1,GitHub action to prevent GitHub from suspending your cronjob based triggers due to repository inactivity ,JavaScript,GNU General Public License v3.0,False,True,194.0,128,45.0,29.0,4.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
getong,mariadb-action,container ci,249,25.0,1,12,9,3,25,6,34,17,2,11,0,34000,2,GitHub Action to setup a MariaDB database,TypeScript,MIT License,False,False,25.0,44,17.0,62.0,3.0,"['TypeScript', 'Shell', 'Dockerfile']",,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
github,accessibility-alt-text-bot,utilities,344,1.0,23,9,16,7,78,8,9239,30,3,30,0,9239000,0,"An action to remind users to add alt text on Issues, Pull Requests, and Discussions",JavaScript,MIT License,True,True,79.0,76,62.0,16.0,7.0,"['JavaScript', 'Shell']",1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
github,branch-deploy,deployment,51,6.0,1,30,50,67,421,18,31597,30,4,30,0,31597000,1,"Enabling Branch Deployments through IssueOps with GitHub Actions - If you find this project useful, give it a star! ⭐️ ",JavaScript,MIT License,True,True,428.0,1727,355.0,53.0,68.0,"['JavaScript', 'Shell']",1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
github,combine-prs,utilities,36,3.0,4,19,6,66,121,10,2940,30,7,30,2,2940000,1,GitHub Action to combine multiple PRs into a single one,JavaScript,MIT License,True,True,121.0,217,57.0,5.0,67.0,"['JavaScript', 'Shell']",1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
github,command,utilities,48,2.0,1,10,6,39,109,5,3663,30,2,30,0,3663000,0,IssueOps commands in GitHub Actions,JavaScript,MIT License,True,True,110.0,221,68.0,6.0,40.0,"['JavaScript', 'Shell']",1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google-github-actions,deploy-cloudrun,deployment,92,4.0,3,30,120,11,490,16,4550,30,6,30,1,4550000,1,A GitHub Action for deploying services to Google Cloud Run.,TypeScript,Apache License 2.0,True,True,498.0,302,557.0,119.0,11.0,"['TypeScript', 'JavaScript', 'Dockerfile']",1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google-github-actions,get-gke-credentials,deployment,43,4.0,3,24,39,5,108,9,3828,30,1,30,0,3828000,1,A GitHub Action that configure authentication to a GKE cluster.,TypeScript,Apache License 2.0,True,True,108.0,201,325.0,41.0,5.0,"['TypeScript', 'Shell', 'JavaScript']",1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google-github-actions,upload-cloud-storage,deployment,106,6.0,3,30,51,11,233,11,7540,30,0,30,0,7540000,1,A GitHub Action for uploading files to a Google Cloud Storage (GCS) bucket.,TypeScript,Apache License 2.0,True,True,239.0,204,383.0,51.0,11.0,"['TypeScript', 'Shell', 'JavaScript']",1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grassedge,git-pr-release-action,deployment,431,43.0,16,1,9,1,15,1,1819,24,20,20,16,1819000,2,,,,,,,11,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h5bp,server-configs-test,testing,177,1.0,2,30,17,6,42,4,5584,30,0,30,0,5584000,0,Tests for HTTP server boilerplate configs,JavaScript,MIT License,False,True,41.0,476,327.0,17.0,6.0,"['JavaScript', 'HTML', 'CSS']",1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
jimmygchen,runner-fallback-action,utilities,14,1.0,9,2,7,4,21,4,291,27,6,27,6,291000,0,Github action to determine the availability of self-hosted runners,JavaScript,MIT License,False,False,22.0,42,27.0,7.0,4.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jitterbit,get-changed-files,utilities,653,41.0,15,1,145,5,230,2,408,30,50,30,20,408000,2,Get all of the files changed/modified in a pull request or push's commits.,TypeScript,MIT License,False,True,232.0,30,79.0,145.0,5.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joao-zanutto,get-selected,utilities,38,2.0,4,3,0,1,18,1,412,16,4,14,3,412000,0,GitHub Actions that retrieves the values of selected checkboxes for workflow_dispatch events,JavaScript,MIT License,False,False,18.0,20,17.0,0.0,1.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jontze,action-mdbook,deployment,801,2.0,3,13,3,1,14,4,3379,30,4,30,1,3379000,0,"A GitHub Action that installs mdBook on a GitHub Runner and supports various plugins like linkcheck, mermaid, toc, open-on-gh, admonish, and katex for enhanced functionality.",TypeScript,MIT License,False,True,14.0,1235,612.0,3.0,1.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jpb06,jest-badges-action,testing,673,12.0,3,30,19,2,35,3,1600,30,0,30,0,1600000,2,,,,,,,203,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
julia-actions,registeraction,publishing,22,3.0,1,7,4,3,17,1,869,13,6,5,1,869000,1,Register Julia packages via GitHub Actions,JavaScript,MIT License,False,True,17.0,11,13.0,4.0,3.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
julia-actions,install-juliaup,continuous integration,41,0.0,5,13,2,2,17,2,1031,30,9,30,4,1031000,0,GitHub Action that installs Juliaup (and uses Juliaup to install Julia),TypeScript,MIT License,False,True,17.0,76,110.0,2.0,2.0,"['TypeScript', 'Julia', 'Makefile', 'JavaScript']",1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,
jwgmeligmeyling,pmd-github-action,security,70,7.0,12,2,9,2,13,2,1040,30,16,30,6,1040000,2,Push PMD results as check run annotations,TypeScript,MIT License,False,True,13.0,11,168.0,9.0,2.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kamilkisiela,bob,continuous integration,541,17.0,10,23,12,7,48,13,1310,30,19,30,1,1310000,2,,,,,,,324,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kanadgupta,glitch-sync,deployment,5,0.0,1,7,19,1,45,2,1113,30,0,30,0,1113000,0,Sync your GitHub repository with Glitch via GitHub Actions! 🎏,TypeScript,MIT License,False,True,45.0,84,109.0,19.0,1.0,"['TypeScript', 'HTML']",,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
kanga333,variable-mapper,utilities,18,1.0,2,6,34,4,44,3,796,30,7,30,2,796000,0,Github Action for mapping variables by a specific key,TypeScript,MIT License,False,True,44.0,132,114.0,34.0,4.0,"['TypeScript', 'Dockerfile', 'JavaScript']",1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kevin-david,zipalign-sign-android-release,publishing,17,0.0,3,4,9,2,23,10,41894,23,1,23,1,41894000,0,A GitHub action to sign and zipalign an APK or AAB,JavaScript,MIT License,False,True,23.0,116,23.0,139.0,2.0,"['JavaScript', 'TypeScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kiegroup,git-backporting,continuous integration,68,14.0,1,27,9,2,19,8,2487,30,10,30,0,2487000,2,Git backporting is a CLI tool to execute pull request backporting.,TypeScript,MIT License,False,True,19.0,107,149.0,9.0,2.0,"['TypeScript', 'JavaScript', 'Shell']",1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kiegroup,github-action-build-chain,utilities,103,13.0,11,30,25,5,86,11,5426,30,28,30,1,5426000,2,,,,,,,270,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kitabisa,docker-slim-action,utilities,55,0.0,4,6,5,4,25,4,3973,15,1,8,0,3973000,0,GitHub Action to minify container image by up to 30x (and for compiled languages even more) making it secure too!,TypeScript,MIT License,True,True,26.0,27,15.0,5.0,4.0,"['TypeScript', 'Dockerfile']",,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ksivamuthu,aws-copilot-github-action,deployment,13,1.0,7,8,18,4,31,5,540,30,12,30,6,540000,0,,TypeScript,MIT License,False,True,31.0,43,237.0,18.0,4.0,"['TypeScript', 'HTML', 'JavaScript', 'Dockerfile']",1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
layer5labs,kanvas-snapshot,code review,513,13.0,26,30,24,5,28,17,1213,30,5,30,2,1213000,2,Infrastructure as Diagram delivered to your pull requests.,JavaScript,Apache License 2.0,True,True,29.0,545,145.0,24.0,5.0,"['JavaScript', 'Shell', 'TypeScript']",1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laytan,setup-odin,utilities,120,14.0,3,17,3,3,19,3,16740,30,1,30,0,16740000,2,,JavaScript,MIT License,False,False,19.0,112,59.0,3.0,3.0,"['JavaScript', 'Odin']",1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
leanix,nx-affected-dependencies-action,deployment,9,3.0,11,3,0,2,17,2,357,30,10,30,6,357000,1,"Like ""nx affected"", but filters out the projects that are not dependencies of a provided project 🤓",TypeScript,MIT License,True,False,17.0,45,240.0,0.0,2.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lhotari,action-upterm,utilities,2,1.0,2,1,35,5,427,4,40,30,16,7,1,40000,0,Debug your GitHub Actions via SSH by using upterm/tmux to get access to the runner system itself. ,JavaScript,MIT License,False,False,428.0,58,30.0,35.0,5.0,"['JavaScript', 'Shell']",1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lindluni,actions-variable-groups,utilities,29,1.0,1,12,3,1,15,3,342,10,1,4,0,342000,0,GitHub Action for injecting variables from source files,JavaScript,MIT License,False,True,15.0,38,11.0,3.0,1.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
loopwerk,tag-changelog,deployment,37,1.0,1,16,15,4,62,4,311,18,0,7,0,311000,0,"Automatically generate a changelog since the last tag, using the conventional commit format",JavaScript,MIT License,False,False,62.0,71,18.0,15.0,4.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lukka,run-cmake,dependency management,378,4.0,8,21,21,5,187,9,2361,30,8,30,0,2361000,1,"GitHub Action to build C++ applications with CMake  (CMakePresets.json), Ninja and vcpkg on GitHub.",TypeScript,MIT License,False,True,187.0,126,150.0,21.0,5.0,"['TypeScript', 'JavaScript', 'CMake', 'C++']",1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
lukka,run-vcpkg,dependency management,422,17.0,15,30,27,5,199,9,4251,30,4,30,0,4251000,2,The GitHub Action to setup vcpkg for your C++ based projects. Stores built ports using Binary Caching backed onto GH Cache.,TypeScript,MIT License,False,True,201.0,164,242.0,28.0,5.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lwojcik,github-action-feed-to-social-media,utilities,3,0.0,1,0,4,1,31,2,1871,30,0,30,0,1871000,0,"Post latest RSS feed item to social media (Mastodon, Twitter, Discord, Slack, Bluesky...)",TypeScript,The Unlicense,False,False,31.0,30,37.0,4.0,1.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
machulav,ec2-github-runner,utilities,111,1.0,6,17,348,10,767,13,6121,30,67,30,7,6121000,0,On-demand self-hosted AWS EC2 runner for GitHub Actions,JavaScript,MIT License,False,True,773.0,92,200.0,351.0,10.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mainmatter,ember-asset-size-action,deployment,124,10.0,11,6,15,6,22,10,2053,30,12,30,9,2053000,2,Comment with the diff for the asset sizes on Pull Request,JavaScript,MIT License,False,False,22.0,129,82.0,14.0,6.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
managedcode,mauiappversion,deployment,27,0.0,1,8,1,1,20,2,821,4,1,1,0,821000,0,This action updates the application version and/or display version properties in a .cproj file for a MAUI application. You can use this action as part of your CI/CD workflow to automatically update the version properties when building and publishing your MAUI application.,JavaScript,MIT License,False,True,20.0,27,5.0,1.0,1.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manusa,actions-setup-minikube,container ci,43,5.0,6,27,27,4,61,5,16197,30,10,30,4,16197000,1,Set up your GitHub Actions workflow with a specific version of Minikube and Kuberentes,JavaScript,Apache License 2.0,False,True,61.0,121,135.0,27.0,4.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marocchino,validate-dependabot,dependency management,754,4.0,7,7,5,3,26,4,3869,30,11,30,5,3869000,1,validate dependabot yaml,TypeScript,MIT License,False,True,28.0,966,787.0,5.0,3.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
martincostello,update-dotnet-sdk,utilities,72,4.0,1,30,1,3,18,5,14804,30,3,30,0,14804000,1,A GitHub Action that updates the .NET SDK,TypeScript,Apache License 2.0,True,True,18.0,1638,1223.0,1.0,3.0,"['TypeScript', 'JavaScript', 'PowerShell']",1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
masci,datadog,monitoring,13,0.0,1,18,22,3,74,5,800,30,0,30,0,800000,0,Send Datadog metrics and events from GitHub workflows,TypeScript,MIT License,False,True,74.0,94,37.0,22.0,3.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matlab-actions,setup-matlab,utilities,61,0.0,8,24,13,9,79,6,2975,30,19,30,2,2975000,0,Set up your GitHub Actions workflow with a specific version of MATLAB.,TypeScript,"BSD 3-Clause ""New"" or ""Revised"" License",True,True,79.0,175,132.0,14.0,9.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mattermost,action-mattermost-notify,utilities,17,2.0,1,6,10,34,44,5,2277,19,3,11,1,2277000,0,,,,,,,37,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mattzcarey,code-review-gpt,code review,1162,19.0,30,21,184,25,1798,30,4332,30,7,30,1,4332000,2,"Code review powered by LLMs (OpenAI GPT4, Sonnet 3.5) & Embeddings ⚡️ Improve code quality and catch bugs before you break production 🚀 Lives in your Github/GitLab/Azure DevOps CI",TypeScript,MIT License,False,True,1858.0,667,381.0,193.0,25.0,['TypeScript'],,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mbogh,test-ssl-action,security,10,4.0,1,6,5,2,22,3,258,10,2,8,1,258000,1,testssl.sh GitHub Action,JavaScript,MIT License,False,False,22.0,22,11.0,6.0,2.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mheap,automatic-approve-action,testing,32,1.0,8,10,2,3,15,3,773,23,5,17,5,773000,0,Automatically approve workflow runs for new contributors,JavaScript,MIT License,False,False,15.0,15,23.0,2.0,3.0,"['JavaScript', 'Dockerfile']",1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mheap,require-checklist-action,code review,30,1.0,7,11,18,3,27,7,593,30,6,30,5,593000,0,,JavaScript,MIT License,False,True,27.0,24,51.0,18.0,3.0,"['JavaScript', 'Dockerfile']",1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
microsoft,richcodenavindexer,code review,380,40.0,13,30,14,8,26,13,80074,30,5,30,1,80074000,2,A GitHub Action that adds rich code navigation to a repo's branches and pull requests.,TypeScript,MIT License,True,True,26.0,269,195.0,14.0,8.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mikepenz,action-junit-report,testing,145,3.0,30,30,133,5,341,26,13753,30,9,30,4,13753000,1,Reports junit test results as GitHub Pull Request Check,TypeScript,Apache License 2.0,True,True,346.0,1157,1310.0,133.0,5.0,"['TypeScript', 'Java', 'JavaScript', 'Kotlin', 'Python', 'Shell']",1.0,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,
mikesprague,teams-incoming-webhook-action,utilities,58,3.0,1,30,5,5,23,2,4710,30,3,30,0,4710000,1,GitHub Action that sends an AdaptiveCard notification to an MS Teams Incoming Webhook,TypeScript,MIT License,False,True,23.0,638,393.0,5.0,5.0,"['TypeScript', 'Dockerfile']",,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlg87,pr-reviewer-slack-notify-action,code review,1093,8.0,8,30,7,2,26,9,57203,30,9,30,1,57203000,2,,TypeScript,MIT License,False,True,26.0,314,69.0,7.0,2.0,"['TypeScript', 'JavaScript', 'Shell']",1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlugg,setup-zig,utilities,78,2.0,2,5,11,2,116,6,5353,24,7,11,0,5353000,0,Install a Zig compiler for usage in GitHub Actions workflows.,JavaScript,MIT License,False,False,120.0,21,25.0,12.0,3.0,"['JavaScript', 'Shell']",1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moonrepo,setup-rust,utilities,406,4.0,1,27,9,4,102,4,5571,25,7,12,1,5571000,1,,,,,,,44,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moropo-com,action-trigger-test-run,testing,44,5.0,4,14,1,1,13,6,986,30,1,30,0,986000,1,Moropo Github Action,TypeScript,MIT License,False,True,13.0,186,49.0,1.0,1.0,['TypeScript'],,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mrrobotdotapp,classic-discord-webhook,chat,62,4.0,1,8,8,2,17,7,3126,19,0,16,0,3126000,1,This GitHub Action can produce fancy and more meaningful discord messages for your commits. ,JavaScript,GNU General Public License v3.0,True,False,17.0,109,19.0,19.0,2.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
necojackarc,auto-request-review,code review,36,2.0,2,19,34,3,130,15,199,30,25,30,2,199000,0,A GitHub Action that automatically requests review of a pull request based on files changes and/or groups the author belongs to 🤖,JavaScript,MIT License,False,True,132.0,85,126.0,34.0,3.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nelonoel,branch-name,deployment,3,1.0,5,2,23,2,60,2,40,19,10,14,6,40000,0,GitHub Action for exporting current branch name as an environment variable,JavaScript,MIT License,False,True,60.0,12,19.0,23.0,2.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nick-fields,retry,utilities,15,5.0,8,23,88,3,447,17,980,30,44,30,12,980000,1,Retries a GitHub Action step on failure or timeout,TypeScript,MIT License,False,True,450.0,111,147.0,88.0,3.0,"['TypeScript', 'JavaScript', 'Makefile', 'Shell']",1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
nicklegan,github-org-repo-metrics-action,utilities,66,8.0,1,6,9,0,19,1,535,30,3,30,0,535000,2,A GitHub Action to generate a report that contains various metrics for all repositories belonging to a GitHub organization.,JavaScript,MIT License,True,True,19.0,10,40.0,9.0,0.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nix-community,cache-nix-action,continuous integration,92,22.0,5,18,9,1,45,30,22173,30,12,11,0,22173000,2,Cache Nix Store in GitHub Actions to speed up workflows [maintainer=@deemp],TypeScript,MIT License,True,True,52.0,1114,59.0,11.0,1.0,"['TypeScript', 'Nix', 'Shell', 'JavaScript']",1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
nowsecure,nowsecure-action,security,480,27.0,2,4,15,8,37,8,6805,30,0,30,0,6805000,2,"The NowSecure Action delivers fast, accurate, automated security analysis of iOS and Android apps coded in any language",TypeScript,MIT License,False,True,39.0,84,61.0,15.0,8.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ookami-kb,gh-pr-size-watcher,code review,28,6.0,1,7,5,3,13,1,965,12,1,8,0,965000,1,,TypeScript,MIT License,False,True,13.0,33,12.0,5.0,3.0,"['TypeScript', 'Shell', 'JavaScript']",1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oprypin,find-latest-tag,dependency management,28,1.0,3,8,15,3,34,4,3263,15,5,7,2,3263000,0,GitHub Action: Find the latest tag in a GitHub repository,JavaScript,MIT License,False,False,34.0,35,15.0,15.0,3.0,"['JavaScript', 'Shell']",1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
opsless,ms-teams-github-actions,continuous integration,55,13.0,11,20,8,4,39,5,1405,30,14,30,10,1405000,2,Github Action to send workflow status notification to Microsoft Teams,TypeScript,MIT License,False,False,39.0,54,98.0,8.0,4.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oracle-actions,run-oci-cli-command,deployment,18,1.0,6,7,9,5,29,2,792,30,5,30,5,792000,0,Run Oracle Cloud Infrastructure (OCI) CLI commands,TypeScript,Universal Permissive License v1.0,True,True,31.0,33,60.0,10.0,5.0,"['TypeScript', 'Shell']",,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paambaati,codeclimate-action,code review,508,2.0,18,30,65,5,202,20,21610,30,13,30,5,21610000,0,GitHub Action to send your code coverage to CodeClimate,TypeScript,MIT License,False,True,205.0,1272,799.0,65.0,5.0,['TypeScript'],,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parkerbxyz,suggest-changes,code review,26,1.0,7,10,6,4,13,6,1410,30,5,30,3,1410000,0,This GitHub Action will take the changes from the Git working directory and apply them as GitHub code review suggestions.,JavaScript,MIT License,False,True,14.0,107,60.0,8.0,4.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pascalgn,automerge-action,code review,389,9.0,11,30,215,9,877,30,1866,30,34,30,8,1866000,2,GitHub action to automatically merge pull requests that are ready,JavaScript,MIT License,False,True,876.0,223,287.0,215.0,9.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peaceiris,actions-mdbook,deployment,28,0.0,7,25,24,3,305,5,2009,30,18,30,4,2009000,0,"GitHub Actions for mdBook (rust-lang/mdBook) ⚡️ Setup mdBook quickly and build your site fast. Linux (Ubuntu), macOS, and Windows are supported.",TypeScript,MIT License,False,True,306.0,597,518.0,24.0,3.0,"['TypeScript', 'Shell', 'Makefile', 'JavaScript', 'Dockerfile']",1.0,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
peaceiris,actions-suggest-related-links,utilities,124,13.0,19,5,2,3,31,3,1387,30,24,30,13,1387000,2,"A GitHub Action to suggest related or similar issues, documents, and links. Based on the power of NLP and fastText.",TypeScript,MIT License,False,True,31.0,376,269.0,2.0,3.0,"['TypeScript', 'Python', 'Dockerfile', 'Shell', 'Makefile', 'JavaScript']",1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
peckjon,reject-pr-approval-from-committer,code review,33,1.0,5,4,3,0,11,11,771,24,5,22,4,771000,0,GitHub Action to reject approval of a pull request by any committer to that pull request,TypeScript,MIT License,False,True,12.0,246,24.0,3.0,0.0,['TypeScript'],,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peter-evans,find-comment,utilities,36,3.0,1,16,63,4,189,8,2315,30,2,30,0,2315000,1,A GitHub action to find an issue or pull request comment,TypeScript,MIT License,False,True,189.0,420,348.0,64.0,4.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
philips-software,sonar-scanner-action,code quality,387,4.0,6,7,16,2,12,11,1291,30,12,30,3,1291000,1,GitHub Sonar Action,TypeScript,MIT License,False,False,12.0,392,312.0,16.0,2.0,"['TypeScript', 'Dockerfile', 'JavaScript']",1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixee,upload-tool-results-action,security,50,6.0,4,17,0,4,14,5,1999,30,2,30,0,1999000,1,,,,,,,41,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shadowmoose,gha-loc-badge,utilities,22,3.0,4,1,16,2,36,2,1144,8,5,5,2,1144000,1,Count project Lines of Code & generate a badge for display.,JavaScript,MIT License,False,True,36.0,26,8.0,16.0,2.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shallwefootball,upload-s3-action,continuous integration,73,3.0,1,10,158,2,169,9,270,30,30,30,8,270000,1,,,,,,,60,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sherlo-io,sherlo,testing,2884,33.0,8,30,1,1,28,4,275109,30,1,30,1,275109000,2,Sherlo is a Visual Testing and Review Tool that integrates with Storybook for React Native.,JavaScript,MIT License,False,False,28.0,162,50.0,1.0,1.0,"['JavaScript', 'TypeScript', 'Objective-C', 'Java', 'Shell', 'Ruby']",1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,
shimataro,ssh-key-action,deployment,13,6.0,4,26,89,8,586,2,13425,30,15,30,2,13425000,1,GitHub Action that installs SSH key to .ssh,TypeScript,MIT License,False,True,587.0,184,275.0,89.0,8.0,"['TypeScript', 'Shell']",,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shioyang,check-pr-labels-on-push-action,project management,24,3.0,3,13,18,2,16,1,201,30,4,30,2,201000,1,Check the PR labels contain given labels,TypeScript,MIT License,False,True,16.0,29,44.0,18.0,2.0,['TypeScript'],,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
