repo_owner,repo_name,Category,Number of Components,vulnerability-proneness-all,branches,releases,forks,watchers,stargazers,contributors,size,totalIssues,openIssues,totalPullRequests,openPullRequests,codeLines,vp-category-equalfreq,description,primary_language,license_name,security_policy_enabled,vulnerability_alerts_enabled,stargazers_count,commit_count,issue_count,network_count,subscribers_count,languages,lang_javascript,lang_typescript,lang_shell,lang_dockerfile,lang_python,lang_mustache,lang_handlebars,lang_html,lang_kotlin,lang_powershell,lang_makefile,lang_smarty,lang_cmake,lang_cplusplus,lang_ruby,lang_vue,lang_css,lang_swift,lang_rust,lang_hcl,lang_batchfile,lang_c#,lang_dart,lang_julia,lang_odin,lang_java,lang_nix,lang_objective_c,lang_jinja,lang_nunjucks,lang_jq,lang_php,lang_agda,lang_lua
davideviolante,pr-reviews-reminder-action,code review,20,0.0,1,30,20,4,45,6,1232,30,4,30,0,1232000,0,A GitHub Action to send Slack/Teams notification for Pull Request that are waiting for reviewers.,JavaScript,MIT License,False,True,45.0,298,141.0,19.0,4.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
delaguardo,setup-clojure,utilities,65,32.0,5,30,30,9,194,14,9436,30,13,30,4,9436000,2,"GitHub Action to provision clojure's most popular build tools for Linux, Mac OS X and Windows.",TypeScript,MIT License,False,True,195.0,219,119.0,30.0,9.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dependencytrack,gh-upload-sbom,security,4,1.0,3,6,26,5,48,13,127,30,6,27,2,127000,0,Publishes BOMs to Dependency-Track from GitHub Actions,JavaScript,Apache License 2.0,False,True,50.0,51,47.0,28.0,5.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devcyclehq,feature-flag-code-usage-action,code review,419,3.0,7,16,4,6,19,11,1306,30,2,30,2,1306000,1,,,,,,,52,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devcyclehq,feature-flag-pr-insights-action,code review,403,2.0,10,20,3,6,19,10,1668,30,5,30,4,1668000,0,,,,,,,90,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dopplerhq,cli-action,security,15,3.0,3,3,9,4,52,3,1589,12,2,12,2,1589000,1,GitHub Action for installing the Doppler CLI,JavaScript,Apache License 2.0,False,True,52.0,29,12.0,9.0,4.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
expediagroup,github-helpers,utilities,70,11.0,2,30,29,3,35,22,11017,30,3,30,2,11017000,2,A collection of Github Actions that simplify and standardize common CI/CD workflow tasks.,TypeScript,Apache License 2.0,False,True,36.0,654,701.0,29.0,4.0,"['TypeScript', 'Handlebars', 'JavaScript', 'Shell']",1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
expediagroup,spinnaker-pipeline-trigger,project management,755,11.0,13,9,8,3,15,7,3285,30,11,30,7,3285000,2,Pipeline trigger for Spinnaker utilizing SNS,TypeScript,Apache License 2.0,False,True,16.0,148,470.0,7.0,3.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grantbirki,git-diff-action,utilities,47,2.0,1,20,3,2,16,4,2018,30,1,30,0,2018000,0,A GitHub Action for gathering the git diff of a pull request in raw or JSON format,JavaScript,MIT License,True,True,16.0,189,37.0,3.0,2.0,"['JavaScript', 'Shell']",1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greentf,upload-thunderstore-package,publishing,6,0.0,5,16,4,2,15,3,174,30,0,16,0,174000,0,Github action that uses the thunderstore CLI to upload a package to thunderstore,Shell,GNU General Public License v3.0,False,True,15.0,87,34.0,4.0,2.0,"['Shell', 'JavaScript', 'Dockerfile']",1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
