repo_owner,repo_name,Category,Number of Components,vulnerability-proneness-all,branches,releases,forks,watchers,stargazers,contributors,size,totalIssues,openIssues,totalPullRequests,openPullRequests,codeLines,vp-category-equalfreq
autero1,action-terragrunt,deployment,39,1.0,9,13,25,4,59,11,1404,30,6,30,3,1404000,0
aws-actions,amazon-ecr-login,deployment,102,0.0,6,30,180,23,957,26,32618,30,32,30,2,32618000,0
aws-actions,amazon-ecs-render-task-definition,deployment,96,1.0,10,30,148,11,292,25,3468,30,30,30,3,3468000,0
aws-actions,aws-secretsmanager-get-secrets,security,106,7.0,11,17,38,6,151,8,2739,30,16,30,8,2739000,2
balena-io,deploy-to-balena-action,container ci,196,2.0,30,30,14,15,39,20,2922,30,31,30,4,2922000,0
batista,lint-filenames,utilities,36,4.0,12,3,6,2,31,3,1426,30,14,30,6,1426000,1
bazelbuild,setup-bazelisk,testing,76,9.0,1,4,9,5,56,7,1902,30,0,30,0,1902000,2
benc-uk,workflow-dispatch,deployment,5,2.0,4,4,128,6,339,5,486,30,12,30,3,486000,0
benchmark-action,github-action-benchmark,code quality,104,5.0,6,30,166,7,1064,30,5648,30,111,30,12,5648000,1
biomejs,setup-biome,utilities,45,27.0,1,10,8,7,63,11,1288,30,1,30,0,1288000,2
blombard,move-to-next-iteration,utilities,25,2.0,1,6,16,1,38,5,141,25,6,11,0,141000,0
bobheadxi,deployments,deployment,36,2.0,9,24,63,7,387,25,32070,30,12,30,6,32070000,0
borchero,terraform-plan-comment,deployment,596,6.0,2,7,13,4,91,4,559,30,14,24,3,559000,1
brown-ccv,alex-recommends,code review,363,16.0,12,6,3,4,28,6,1178,26,14,21,11,1178000,2
chf007,action-wechat-work,chat,10,3.0,3,9,16,2,36,3,863,17,3,10,2,863000,1
chrisdickinson,setup-yq,utilities,8,2.0,1,1,21,4,28,4,44,14,3,7,1,44000,0
cloudflare,pages-action,deployment,44,12.0,2,8,99,14,472,17,263,30,17,30,0,263000,2
codfish,semantic-release-action,deployment,532,7.0,5,29,20,3,114,9,682,30,3,30,0,682000,2
corymhall,cdk-diff-action,continuous integration,845,74.0,4,30,10,1,47,5,99746,30,8,30,1,99746000,2
crazy-max,ghaction-import-gpg,security,574,12.0,10,30,79,6,330,9,8345,30,12,30,5,8345000,2
crazy-max,ghaction-setup-containerd,utilities,590,5.0,8,11,1,3,18,3,5091,30,7,30,5,5091000,1
crazy-max,ghaction-upx,deployment,577,4.0,6,16,3,3,56,5,11377,30,4,30,4,11377000,1
crazyurus,miniprogram-action,deployment,934,22.0,1,2,9,1,14,1,160,6,3,1,0,160000,2
